review_text,user_score,recommendation,review_date,entity,series_component,series_id,review_id,page_number,review_len
"To be honest, Naruto is the most overhyped show in existence. Everyone goes on and on and on about how great it is; and my expectations for this show was equally high. However, I was really, really let down. Really. This wasn't the best show ever, as I had thought it would be. Don't get me wrong, the show is enjoyable, but it's definitely not among the best shows out there. I hope Shippuden will better than this... much better. The concept of this show isn't that hard to follow. It's an alternate world in which ninjas live. The ninjas fight by using various skills, and they have this power flowing inside of them called chakra. Chakra is used to perform powerful attacks which (usually) belongs to either of the five traditional elements of earth, fire, water, air and lightning. Of course, since they are ninjas, they fight with weapons like shuriken and kunai as well as hand-to-hand combat. As expected of this kind of world, there's evil people, having different goals and reasons behind their evil. The story follows Naruto, one of these ninjas, as he grow as a ninja, from being a stupid little prank-playing brat to becoming a fine ninja. Along the way, he interacts with and makes friends with many fellow ninja, fighting his way towards his dream of becoming Hokage (the leader of his village). The story isn't nearly as good as the concept would indicate. Sure, a lot of the characters has some nice background stories, won't complain about that, but they manage to drag out everything so much. It really annoys me. Some fights take several episodes when they could've been done them just as good in one or two. There's also way too much fighting. The story goes like fight, fight, background story, fight, fight, even more fight, half an episode's worth of resting or journeying, fight, fight, and so on. I mean, it's cool to watch fights, but there are just way too many fights, and they drag most of them out to unnecessary lengths. The only really enjoyable fight was the one between Sasuke and Naruto right before the fillers began. Which brings up another thing... Fillers! Agh, I normally don't mind fillers, but Naruto had some really, really stupid ones. Sure, there was the occasional diamond among the charcoal, but that doesn't excuse the high amount of bad fillers. I mean, just because they are fillers doesn't mean that they have to make them bad. Several shows have actually made decent and at the same time long fillers (especially Bleach, with its 40-episode long Bount arc), but Naruto failed horribly here. Also, I feel that Naruto is very silly at times. Silly is usually good, but not when it's immature silly. And guess what+ Naruto is silly in an immature way. It's so dreadfully stupid at times that I had to close my eyes, take a deep breath and wait until it got serious again. Now, it did have some good comical moments, but those were far and wide between. Another thing I feel like releasing my rage on is the animation. It barely manages to get the description &ldquo;average&rdquo; to me. At its best, it's slightly above average. However, a lot of time it's slipshod galore with the animation. I still have many very bad memories from having to watch lots of errors in the animation, and I'm not sure if I'll ever get rid of those memories. While the amount of errors decreased as the episodes passed by, at least every second episode before the 100s had one or more moments of slipshod animation. Wonder if they ever considered firing the animators. As a side mention, they should do something about Rock Lee - even though I've slightly gotten used to his horrible looks, I still feel a burn in the back of my eye every time I see him. The music is pretty good, though. A lot of great tunes (especially the sad ones are great), and the first few OPs and EDs were pretty awesome. It has some really bad music parts too, like the tribal voice-ish song, and sometimes they could've used better themes during the fights. As the series progressed, the quality of the OPs and EDs decrease too. The characters are fairly okay, I guess. Some of them are really annoying, like Naruto, because he's so stupid. Agh, he annoys me to no end! Some other characters are annoying too, because of things like their looks (Gai and Lee), or because they are failed attempts at comical relief (at least in my eyes, you might find them funny), like the all too perverted Jiraiya. That's the negative about them. However, they have some really nice background stories, some which are elaborated more upon than others. Many of the characters also get fair amounts of screen time, which for some people can seem too much, whilst others will be content with it, because their favorite character from the show gets an episode for him/herself. I also like the fact that most of them have dreams or aspirations, and motives for what they are doing and how they are acting (usually it's tied together with their background stories). The growing relationships between them is also nice, their maturing, and how Naruto is slowly getting accepted by more and more people through hard work. Basically, they've portrayed the characters very well, and not too over the top, but some of them act stupid and silly from time to time, which drags the character rating down. I have some mixed feelings for the show, which kind of drags down on the enjoyability factor of it. Great concept, not as good story, both good and bad music, horrid animation at times, many characters with background stories, some of them great and some not-so-great; it's hard to completely make up my mind, but I believe the ratings I have given shows my feelings towards the different aspects of the show. Of course, even though there was things I didn't like, I can easily see why this show is so popular as it is; it has humor that the kids may find funny, as well as lots of fights which appeal to the teenagers and adults. I personally didn't like it that much, though. I'm looking forward to Shippuden, because I&rsquo;ve heard it was much better&hellip; I really hope so! To 'Not Helpful' voters (and you 'Helpful' voters too): Feedback greatly appreciated =)",7,Recommended,"Apr 27, 2008",Naruto,Naruto,20,naruto_fd05465624,1,6155
"I began to browse through the reviews of Naruto, and realized something was horribly wrong. All the experienced anime watchers were giving it crappy reviews, and all the first-timers were giving it rave reviews, with reasons that every anime has to back them up. How could this be? Gee, I wonder. For some strange reason, Naruto has become the most popular and well-known anime series ever, and as such, it is usually the first anime seen by anime watchers alike. Why this is, I don't know. Maybe it appeals to a wide variety of young teenagers... When I was 13 years old, I remember watching and loving this anime. I had never seen any other anime shows, and I thought the concept was original and amazing. When I found out that others animes literally had all that Naruto had plus a lot more, I was... bored with all the fillers. At the time the anime was great, but it really does get old. Then again, the anime is not absolutely horrible. It has the essentials, with a somewhat unique story and art style. The characters are cliche, and enjoyment is there but short and sweet. What I truly love about Naruto is the great soundtrack. It seems that all the OP and ED are just fabulous, and the music just fits within the series. I would have liked a bit of a change over the course of the show, but hey, it almost never happens. All in all, it was a good show. Just good. So basically: Shame on those people who watch 10 episodes and immediately come here and write a review. Also shame on people who give this show all 1's because everyone else loves it. It's OK, but ive definitely seen better.",7,Recommended,"Jun 25, 2008",Naruto,Naruto,20,naruto_29452877f3,1,1598
"Naruto, yes Naruto. One of the series that has defined the cultural shonen’s of the last generation in the history of anime. This is a series that has changed significantly over the past decade. What I love bout naruto is the whole “Ninja aspect” of the show. Every technique had substance, quality and all of the training arcs really shown the defining elements of how ninjutsu worked within the naruto universe. These qualities are something I will soon not forget. I know alot of people complain about naruto being a half ass wit that can’t do nothing Or perhaps sakura being useless. But in away I look at the series as being a little different, especially in the developing of characters. Kishimoto did not intend to create the story with a “bad ass” character right from the start, toppling villains one after the other, no. Naruto was set up in a way that much resembles an ordinary life and the tribulations and tests you must go through. Death is at every corner and naruto is a kid that is trying to fit in with the rest of the shinobi and be ""recognized"" I think that was one of the main defining elements of the original series. Kishi wanted to show here is a character that no one likes because he has a living breathing monster inside of him. You can only wonder what he is thinking, being in his predicament. Watching him grow up as a monster and trying to be known as a famous shinobi and protect his friends, but realizing that he is in a world fraught with danger at every corner. Watching his friends die before him or getting hurt. The degree of emotion in the series was something I really enjoyed. It was really powerful. I remember hearing people spout nonsense in the discussions boards ""omg to much drama, get on with the fighting already"" But I actually liked how naruto had that drama, it fit in with the entire theme of the series. It kind of brings a whole different realism to the show compared to other shonen series. I won’t state any names. One of the things that kishi really focused on in the original was friendship, and bonds. Thats one of the major theme's watching this team 7 grow up together, learning from kakashi and becoming great ninja in the process, learning the ways of the ninja world. This show explores themes of revenge, hate, bonds and sorrow to a very astounding degree. The characters in this series were in every sense of the word children, growing up in a world full of adults that were much more talented ninja's both skills and combat. That is not to say the show was made for children. Just that kishi wanted to show the younger generation as the main characters of the show and the older generation as the training shinobi. They had to learn the ropes of what being a ninja is like. After their pre training sessions, they were finally put to the test of just how grueling the world is and how they must use every ounce of there being to survive and also protect the people they love. 10 years ago people viewed naruto very different to how people view it today. I still consider naruto to be one of my favorite quality anime series, regardless of where it’s going. Perhaps maybe its because im very infatuated with ninja's and like the unique way that kishi has created this ninja world. Similar to how i really love pirates in the one piece world. Every arc is something new and fresh so kishi can develop on that and expand upon the show in various different ways. One piece had some of the greatest character back stories and cast I’ve seen in a series, but it did suffer from story progression a bit thankfully naruto does not. It has a pretty solid pace and some of the most ground breaking plot twists. I guess it’s all a matter of personal preference and what you like to see in a show. I my self im not a huge fan of typical shonene tropes that are used consistently, but i love how the original series gave us a much more powerful emotional impact to the show. In away it felt more humanized as apposed to the more generic super power elements of shipuuden.",10,Recommended,"Dec 3, 2011",Naruto,Naruto,20,naruto_2e4e6db105,1,4028
"I'm sure most, if not all, the people who end up reading this review have seen Naruto before and those who haven't are probably put off by the pure unadulterated hatred this and the more recent Shippuuden garner. Okay, I guess ""unadulterated"" is a strong word but I digress.. In any case, before starting this review I want to point out that I haven't read the manga so I'm unsure as to what was or wasn't changed during the process of animating this story and I guess it's time to get the show on the road. *Also, let it be known that the infamous ""Filler Arc"" is not part of this review. Naruto is the story of a group of rookie ninja from Konoha (Leaf) Village, with particular focus on our title character Naruto Uzumaki and his two friends Sakura Haruno and Sasuke Uchiha. The story starts soon after the three of them graduate from there Ninja Academy and are put under the care of Kakashi Hatake who, for the most part, takes on the standard role of the ""mentor"" who teaches them the value of teamwork and all that jazz. The main characters can apparently be hit or miss, though I liked them for the most part. Naruto himself seems to follow in the footsteps of Goku from the Dragon Ball franchise, though I personally don't consider him anywhere near as dense and also don't consider him an ""idiot"" like most people tend to. Sakura seems to get the most flack from my experience because, for the most part she plays the ""useless female"" role. The thing is, she herself realizes that and actively tries to change herself which makes for some interesting scenes down the road. Sasuke is probably the most intriguing of the main characters, simply because he himself admits that he is only training to ""kill a certain man"" and he and Naruto clash quite a few times over their belief systems, particularly in the oh so excellent final arc. As far as Kakashi, there isn't a whole lot to say as he reveals very few nuggets of information about himself. He's a cool guy, but he's very much a supporting character during this series. But, to be honest, the thing that Naruto can be proud of is the excellent cast of supporting characters. From the intelligent, yet lethargic Shikamaru to the Bruce Lee wanna be Rock Lee it's pretty cool to see all these different characters, who usually have a very interesting and unique fighting style, clash with one another. It also should be mentioned that a certain villain, Orochimaru, who appears rather frequently is a scene stealer and takes part in some of the more memorable moments of this series. It's also when he appears that the show really takes off and gets interesting, as he is the instigator of some of the biggest plot points. His personality and his willingness to use any and all means to further himself and his power is interesting and very often disturbing. One thing that is important throughout the series is the running theme of revenge and human relations. Every one, from Gaara to Sasuke to Naruto himself has had some sort of bad experience during their childhood and it seems as though ""friendship overcoming tragedy"" is maybe the predominate theme throughout the show. Now this series being a shounen, it's obvious it has pacing flaws here and there. For example, many of the fight scenes are dragged out to an annoying degree. And this is very apparent in the first arc when the characters go through two separate fight scenes that both take at the very least three or four episodes each, which isn't a huge problem if you marathon the series like I did. But, it still deserves mentioning as it is annoying. The plus side is that most fight scenes, particularly during the Chuunin Exam arc and beyond, are very well animated and just overall well done. The aforementioned Shikamaru for example has some of the more noteworthy scenes because he uses his head, instead of any physical abilities, and his fight scenes are always damn good fun. But, this also highlights one of the issues I do have with the fight scenes and, even though this is a problem with shounen action anime in general, it's especially bothersome here. The characters have a habit of explaining everything they do to their enemy which would be time better spent actually defeating your opponent rather than telling them your skills. I know it's just so the mangaka can flex his thought process and the logic behind the attacks to the viewer but..it's still kind of tiresome and could certainly be implemented better. I think the music bears mentioning as I thought it was either great, such as most of the music used during the dramatic scenes and some battle scenes, or forgettable, which is pretty much the rest of the fight scene music. The Japanese voice actors did a great job imo, especially during some of the more serious scenes. But, I especially got to shout out to the multiple voices for Orochimaru. Of which almost all of them are suitably creepy and, even though they sound different, they still manage to pull off the basic speech patterns. In Summary: Story: 7 It takes a while for things to really get going, but once it does you'll notice it. Unfortunately for some, the pacing can sometimes be broken by the short training arcs which are actually pretty entertaining and in many cases are segued in nicely with the story arcs. Also, there is only one short filler arc throughout the first 135 episodes. Art: 8 First off, it should be apparent from our protagonists conspicuous appearance that, in many ways these guys are ninjas in name only. Still, the appearances of the characters throughout the series are so varied that I, at the very least, didn't care. Animation does take a dip occasionally, however. Sound: 8 Orochimaru is a plus, no doubt about that. And most of the other cast members have good voice acting, though Rock Lee's can sometimes be grating.. The music is pretty good, though occasionally generic. Character: 8 Depending on how you take to Naruto, Sasuke, and Sakura this could be your favorite part of the series, which is the case for me, or your least favorite, and probably game breaking, aspect of the series as it does depend upon these three for the vast majority of the story . But, I'm sure most people will like the supporting characters as almost all of them are developed to a satisfying degree. Unfortunately, all of them fit the tragic past stereotype so...your mileage may vary. You may want to avoid this series if you aren't a fan of melodrama. Enjoyment: 9 Hell yeah, I enjoyed this series. I won't lie, I loved this series. But, it certainly isn't for everyone and I can understand quite a few people being frustrated by this shows some times slow, often times fast pacing and some of the more dragged out arcs even frustrated me at times. Also, as I said before, enjoyment largely hinges on whether or not you take to the three main characters or not. Overall: 8 To sum it up, don't go into Naruto expecting to see the tightest script ever written or anything thought provoking. Just go into it for a fun time and, maybe, you'll be surprised by the well developed characters like I was. Make no mistake, Naruto was a great experience for me..especially because I went into the series expecting it to be terrible and, by the time I realized it wasn't, I was enjoying the ride. *If you want to make any sort of comment, just drop by my profile. Criticism is welcome as this is my first review in quite a while and I went with a different style than I have in the past. Thanks for reading this review, I hope it helps anyone interested in this series.",8,Recommended,"Apr 30, 2011",Naruto,Naruto,20,naruto_46a1543fc7,1,7550
"ok so I've seen like 200+ series and i have to say that this is one pathetic series. i watched up to shippuden 50. im telling you nothing interesting happens, and like 90% of the series is filler anyway. the plot is seriously lacking and its a pathetic excuse for a slice of life/action-drama type of show. im writing this for people who legitimately haven't seen the show but the series is just NOT worth the acclaim or watching at all. the characters are even worse. you have your over-zealous,untalented guy who thinks he can do anything if he tries hard enough. . .and he just so happens to get increasingly stronger enemies to fight along the way. than you have your emo broody guy who all the fan girls swoon over while he talks about how much he resents his brother and must AVENGE HIS CLAN! get over it already and last you have your naturally talented good girl who has a crush on the bad boy, even though its obvious he hates her and that the other guy would kill to have her. look people this has been done MILLIONS! of times before so please if you haven't seen the series don't watch it. it will waste days of your life away for nothing. . .literally the series will take up 88 hours of your life! thats over 3 and a half DAYS! you could have been doing something WAY more productive. hell, it doesn't even have to be productive. you could probably have a better time watching paint dry! listen to me people, for gods sake i only watched as far as i did out of obligation to finish a series i started but it wasn't worth it! so PLEASE heed my words and never ever watch this series of overrated garbage!",1,Not Recommended,"Dec 19, 2008",Naruto,Naruto,20,naruto_c521ad62f3,1,1616
"I've heard a lot of people call this the most overrated anime of all time. So is it really? Well, that depends on who you ask. Me? I'm one of the guys who loves it. This is the anime that got me into anime in the first place. So why should you read my review as opposed to the hundred others? Because I'll try to show you both what everyone gripes about and what they love about the show. Bear with me on this review, as it will be a little long, but since the anime I'm reviewing is pretty long, I have a lot to cover. Story (10/10) - Ok, a lot of people gripe about the story of Naruto, saying it's cliche, moves too slowly, isn't interesting, or whatever. I have to admit, some of these complaints are well-founded. So why did I give it a 10/10? Because the story is so complex and well-done. A lot of this won't become obvious until Naruto: Shippudden, but this is a review of the original series, so, I digress. Naruto is set in a fictional universe where Shinobi (Ninja) are basically the entire cast. Most Shinobi aren't mercenaries, but instead, fight to protect their village, and complete missions to earn money for it. The main character is one such Shinobi, name ""Naruto"" (hence, the name of the series). Naruto is a rebellious, disrespectful, punk, yet he still wants to become a great ninja. He even aspires to become ""Hokage"" (the lead ninja of his village). While this may sound pretty cliche, you'll quickly realize that Naruto has a long way to go before he has any hope of becoming Hokage. This series goes through a lot of twists and turns. The story is too complicated to try to explain in this review, but the further along you go, you'll find that Naruto aspirations aren't easy to live up to. In the very first arc, Naruto and his companions are confronted by a powerful Shinobi who wants to kill the man they have been assigned to protect. The battle that ensued is what got me hooked on this show. The fights in general are nothing short of brilliant. If you like action, this anime is for you! The battles will have you on the edge of your seat, and you won't be able to stop until you see how the fight is concluded. I also enjoy watching the characters learn new moves and apply them in combat situations. You'll see Naruto change from an annoying little punk, to a ninja who people actually start to respect for his perseverance and strength. Now, for the things people gripe about in this show. Oftentimes, a fight scene will be interrupted by a flashback or monologue, and this can get dull at times. I didn't mind so much the first time around, but it does hurt the rewatch value a bit. The story can move slowly at times, but most of the slowness is because of how complex the story truly is. The further you go, the deeper you'll see things get. Another thing people gripe about is the length. While it's true that 220 episodes is quite an undertaking, it's really not necessary to watch more than the first 135 episodes. Yes, you heard me correctly friends. The last 85 episodes of the show are nothing but a desolate wasteland, inhabited by nothing but the pile of vomit known as ""filler"". I only watched the first 40 episodes of filler before I'd had enough, and skipped on to Shippudden. Some of the filler arcs are truly terrible. You'll sit back and wonder how the creators of the show had the audacity to slap the name ""Naruto"" to the garbage you've been viewing (if you're brave enough to bother watching it). Hence, my review only covers the non-filler portions of the show. Do yourself a favor and skip the filler. It really isn't worth your time. Art (7/10) - Here the show isn't as strong. While the art is never distinctly poor, it's also not great either. I suppose at times it can't be helped when making a series as long as this one. The animation is often stepped up for fights, or more intense parts of the show, which does help considerably. The art is at least passable, and I was never really bothered by it. Definitely not a show you watch for the eye-popping scenery, though. Sound (7/10) - I must say that I really did enjoy the music at first. While it tended to use synthesizers a bit more than I cared for, it still distinctly fit the mood of the show. Some of the battle music was catchy, and managed to combine electric guitar with more traditional sounding string or wind instruments. However, the creators of the show didn't seem to think it was necessary to update their musical score once in awhile. This wouldn't have been a problem if the show wasn't 220 episodes long. Music that I had once enjoyed, began to grow a bit overused by the end of the series. It never grew to the point of bothering me, but had the show gone on much longer before the filler started, I might have thought differently. The music is good, just used for a few too many episodes. The voice acting was easily good enough for me as well. Not outstanding, but never distinctly bad either. Just don't watch the dubbed version. Naruto's voice alone will be enough to drive you insane. Character (9/10) - Getting to know the cast can be a bit daunting at first. I've never taken the time to count, but there must be at least 30+ characters who get a decent amount of screen time in this show. While this sounds very cumbersome, it actually helps the show quite a bit. each character has their own unique back story and their own battle techniques. While one might think that ninja from a particular village all use the same techniques, this couldn't be further from the truth. The styles of combat are so diverse, that it makes for some VERY interesting fight sequences. Sometimes one character is at a distinct disadvantage, and is forced to out think his opponent in order to win. If it weren't for the brilliantly done fights and interesting characters, this show would lose a lot of it's value. There is one drawback to all of these characters, though. Sometimes, a somewhat minor character will have a flashback in the middle of a fight. It does help to have some context for why they fight, but it gets old at times, especially if it's a minor character that no one really cares about. Despite this problem, the show does a good job of somehow making you hate a character in the beginning, and totally changing your opinion of them at one point or another. I can think of several examples of this. Another problem is that some of the main characters (aka Naruto) are kind of annoying. Naruto is honestly a complete moron in the beginning, and you probably won't like him much at first. He gets better as things go along, but you'll still cringe at him a few times early on. Another annoying character is the lead female: Sakura. Sakura spends the entire series being obsessed with Sasuke (the third member of Naruto and Sakura's three-man team) and never really does anything worthwhile. She spends her time sitting on the sidelines of fights and cheering for Naruto and Sasuke (she gets better in Shippudden, but once again, this isn't a Shippudden review). While this didn't bother me at first, it got kind of annoying when all Sakura could do for the entire series was yell ""Sasuke, Sasuke!"" But anyway, moving right along. Their sensei, Kakashi, is very calm and cool, and helps to balance out this team of knuckleheads. Naruto's an idiot, Sakura's useless, and Sasuke's a child prodigy, yet somehow, Kakashi turns them into a functional ninja team. An impressive feat, if you ask me. To sum it up, whatever shortcomings these characters have, you'll still find yourself rooting for them as they are put through fight after fight, trying to protect their village, the people they love, and what they believe in. For every character that annoys you, there will be at least one that you genuinely love. Even though I did a lot of complaining about the three central characters, I still found myself rather attached to them by the end of the series. The characters will do a good job of making you laugh throughout the series, and it helps to lighten the mood when you sometimes least expect it. As you can see based on the 9/10 I gave the characters, I definitely grew to like them. Despite all the complaints people have, the characters are still very well done. Enjoyment (10/10) - It's hard to be objective on this part of the review. I enjoyed it tremendously, but there are plenty of people who don't. I'd say give it a chance and see what you think. You'll probably know whether or not you'll like the show after the first arc is finished, which is about 17 episodes. Overall (10/10)- Were we on a slightly more precise scale, I might give it a 9.5. I've already said that I enjoyed it a lot, but let me try to sum things up for you: Pros: Lots of action! There are a lot of very well-done fights, which is one of the strongest points of the show. The characters are a good bit better than average, with a few annoying exceptions. The story is long, and complex, but very good. Cons: It's a long anime. 135 episodes (non-filler) for just the original series is a sizable undertaking. Some of the main characters are a bit on the annoying side, and it takes a few episodes before they grow up a little. The long filler arc at the end also turns people off, especially those who feel compelled to watch an entire anime without skipping the filler. Hopefully this helps! Thanks for reading! Feedback appreciated.",10,Recommended,"Jun 26, 2010",Naruto,Naruto,20,naruto_91be9eac64,1,9363
"Proof that I will watch just about anything, or rather that I once had nothing better to do than watch this crap while waiting for Squidbillies to come on (Unknown Hinson fangirl). In either case, there are few anime out there that evoke a visceral reaction like Naruto. Sure there is Inuyasha and you can get your eyes clawed out by yaoi fangirls for calling them closet lesbians, but no other anime has started a craze of shut ins wearing orange sweatsuits and headbands to school like Naruto. See, a uniform code is not just for keeping Crips and Bloods from wearing gang colors to school. Naruto is about a Ninja named Eddie. No, he's named Naruto. He lives in a village where some great Ninja master gave his life to entrap an alien parasite into a carrier queen, I mean a Demon Fox into a baby's body. That baby is Naruto, a completely useless ninja who can summon the great power of the fox within. Think of him like a impish Goku, or maybe Ichigo--I don't know. Anime that go on forever all blend in for me. What is this all about, well it's the typical drawn out storyboard of characters growing up and becoming ninja. Doing Ninja missions (which are filler episodes) while the story dances around the plot that Sasuke is some talented Ninja with a traitor dick of a brother, some girl called Sakura, some short quiet Rei-clone of a girl whose name escapes me but I keep running into on gelbooru, and a sensei who loves kancho--but in the English dub the delightful Japanese pasttime of poking someone's asshole in a nonsexual way with your index finger is clearly unacceptable and heavily edited. Honestly there is no plot. Naruto is a loser, but he has a great power and a lot of the show is geared around how he takes a beating but when he unleashes that power, it is maximum. There's some effeminate snake ninja who plots to get revenge on the leaf village, molests Sasuke, gets pwnt only to return over and over again, there's Sakura being split whether to spread her legs for Sasuke or Naruto--but settling for some old woman instead. This is your typical cliffhanger anime where you watch someone power up or prepare to unleash an ultimate technique for 20 minutes, then are forced to watch a filler episode before you see the obvious, with plot twists usually being mundane like ""the ninja training exam has been hijacked, oh noes!"" With that said, you'd think with over 200 episodes they could develop the characters, but strangely these kind of anime seem to be unable to do that--instead of relying on stock characters that don't really change over time (well, they can become more moody, evil, or slutty--but that isn't a dramatic and shattering change). I just have to concede that I don't understand this. And I also have to concede that I don't like this. Good drama and fiction doesn't spread itself so thin, becoming hopelessly lost in itself. Also, for the love of God, don't dress up as Naruto. Just don't.",3,Not Recommended,"Jun 8, 2009",Naruto,Naruto,20,naruto_25dbe23bff,1,2934
"Having watched many different series of anime, I can understand why the &quot;elitest&quot; out there give this series a bad review; however, I can also say they're flat out wrong and biased. Naruto is a fantastic anime that doesn't get due credit where it's deserved. First off, it's true that the fillers of this anime that take up about the last 1/3 of this Part 1 are flat out terrible. With the exception of the first two arcs (including the amazing Bikouchi retrieval arc) they're probably the worst anime I've ever seen and the fillers in Naruto Shippuden are just as bad. But I think as anime watchers, we should recognize fillers when we see them and simply ignore them. The anime itself is well-done with some of the most memorable tunes you will ever hear. I currently have one of the everyday tunes as my cellphone jingle - it's that catchy. The plot is original and fun, which is why Naruto has taken off to such enormous heights. The characters are all amazing and it's common knowledge that Kakashi and Itachi are two of the most bad-ass characters of all time in any anime. Everyone can find a character to relate to. From the lovable Rock Lee and Hinata to the inpalpable Gaara and Sasuke, we all find something to cheer for or hold onto in this anime, making it addicting. Those who give this anime a bad review refuse to acknowledge the points that make this one of the greatest and most popular anime of all time. It's their loss. Yu-Gi-Oh was the same way. You accept it or you don't, but if you don't like it, most people will disagree with you, which makes you wrong by consensus. Try the first 15 episodes and give it an honest try. By the time the Kakashi/Zabuza fight rolls around, you might just get hooked. Don't say I didn't warn you.",9,Recommended,"Sep 3, 2008",Naruto,Naruto,20,naruto_e07a6a7adb,1,1763
"This has to be one of the worst anime series I've seen, and I've seen 240 anime series. Now that's saying a lot. Ok now on to some of the things that made it so bad. First is the so called story that's supposed to take place I guess two hundred years ago. Yet they have tv and radio, so when the heck is this anime supposed to take place. Now as for the story which makes no lick of sense to me revolves around Naruto, Sakura, and Sasuke on a journey to become the best ninjas. Which wouldn't have been so bad had the creators focused on one type of anime instead of over blowing three of them from comedy, drama, action. Just focus one one and have the other two has secondary. Next lets move on to perhaps the worst part of the the show, the characters. I'll focus on Naruto. He is perhaps the most annoying main character I've seen in a anime series. Every episode I watched, I wanted him to die more and more, I couldn't look past him in the show. The other two main characters weren't nearly as bad as him, I might have given a little better score if they got rid of Naruto and focused on Sakura and Sasuke. Ok moving on to the so called action. First it's ridiculous, not very exciting, and drawn out through 2 to 3 episodes. Finally there's the length of the so called series. There's 240 episodes, plus another series, a few movies and some OVAs. I truly believe the creators and the company that own Naruto are just milking pre-teen and young teenagers of their and their parents money. Now don't get me wrong I know studios are trying to make money, but theirs a difference between making money and ripping people off. So please don't support this show anymore.",1,Not Recommended,"Oct 30, 2007",Naruto,Naruto,20,naruto_bc974426e0,1,1671
"Naruto is a hit or miss show. You love it, or you hate it. I mean, how many times have you heard from Narutards calling it &quot;the best anime ever&quot;? How many times have you heard from Naruto haters calling it &quot;the worst anime ever&quot;? Both have ruined the Naruto fan base, so now no one pays attention to Naruto anymore. I hope this review will get at least one person to try Naruto, even if it turns out they don't like it. The story is basically about the main protagonist, Naruto Uzumaki, and his journey on becoming the greatest ninja in the Hidden Leaf Village. No one believes that Naruto can do this, seeing how this is because Naruto is a hooligan due to the loss of his parents at a young age, and how no one is friends with him because Naruto has a kyuubi, or demon fox, sealed inside of him that attacked the Hidden Leaf Village. Naruto isn't officially a ninja yet, so he takes the ninja test. He fails the test by his teacher, Iruka. Later, the other teacher in charge of the Ninja Academy, Mizuki, tells Naruto he can pass the test if he can get the ninja scroll, which is actually a scroll with every ninja jutsu known to man. Mizuki is actually taking the advantage of Naruto to take the scroll and destroy the Hidden Leaf Village. Iruka hears about this, and challenges Mizuki in combat, but is unable to win. Naruto then challenges Mizuki to combat after Iruka loses, even though Mizuki has the advantage, Naruto defeats Mizuki because he studied a technique in the scroll. Naruto is now able to not only clone himself with the jutsu, but able to clone about 100 of himself. Iruka then passes Naruto as a ninja, and is put in squads with Sakura Haruno, Sasuke Uchiha, and Kakashi Hatake, the team leader who is the second closest ninja in the whole series. After Naruto is put in squads, the series moves on to arcs, the Zabuza arc, the Chunin Exam arc (which basically every character in the Naruto series is introduced), the Orochimaru arc, the Jiraiya arc, and the Tsunade arc. All those arcs last up to episode 100. Even though Naruto has a basic story, each episode has it's own story to it, making each episode unique in it's own way. I therefore like Naruto's story because of this, which makes episode to episode enjoyable. The art from Naruto isn't superb, but this probably because the anime was made in 2002. But this is an excuse, because the anime Fruits Basket was made a year before Naruto, and had superb art. The art looks basic, like One Piece and Bleach's art style. Naruto is a ninja anime, but if you couldn't tell already, none of the characters in Naruto look like ninjas. I mean, orange jumpsuits? Have you ever seen a ninja in an orange jumpsuit? Basically none of the characters wear black and cover their face with a mask, except for Kakashi, but that's his personal preference, not because the creator wanted one character to look like a ninja. Even though the art improved throughout the series, the animation still had plainness to it, so therefore I can't give the animation a great score. The soundtrack that waws in Naruto was pretty good, and it fits in parts where it needed to be. A lot of people don't really enjoy the soundtrack, but I think the composers did a great job on the upbeat themes for combat and sad music for dramatic moments. And the voice acting was good for each character in both dubbed and subbed versions. Naruto has an arrogant whiny voice, Sakura has a self-sufficient bitchy voice, Sasuke has an assholish angry voice, and Kakashi has a leader-type of voice. I would go more on to voice acting of other characters, but there are too many characters to list. Now on to the characters. There are a lot of good characters in Naruto, but some characters ruin great parts of the show. Naruto is a great main protagonist, who won't stop until he gets what he wants. Kakashi is a great leader, and always puts others before himself. Both Hinata and Neji Hyuuga are great characters for being strongly developed with the story line and courageous, and Tenten for being the closest of a ninja in the anime. Now some of the characters I don't really like. Sakura is bitchy and whiny, all she does is &quot;ADORE&quot; Sasuke, and is a useless ninja. Ino Yamanaka, because she is the most useless character in almost any anime, and Shikamaru Nara, for being boring. Therefore the characters I didn't like didn't necessarily ruin the series, but it sure didn't improve it. I'm just going to say it, Naruto is one of my favorite animes, and almost my favorite anime series. Even though I didn't give everything a perfect score, there is one thing I can give a 10- enjoyment. I enjoyed almost every single bit of Naruto, all the way to episode 220. Naruto might not be perfect, but to me it was perfect enjoyment.",10,Recommended,"Feb 5, 2009",Naruto,Naruto,20,naruto_0b864cef3f,1,4792
