review_text,user_score,recommendation,review_date,entity,series_component,series_id,review_id,page_number
"Bleach is one of the three so-called ""mainstream shonen animes""; together with Naruto and One Piece these three are immensely popular, and the topic of endless comparison among their fans set out to prove that their favorite is the best out of them. They simply refuse to exit their fanboyism to view the series in an objective light, which is a shame, because they are probably missing out on great adventures, which is the case of Bleach in many ways. If you want my review short and good, give Bleach a try no matter what people have said, as it, despite a lot of shortcomings, presents a most interesting and enthralling universe. The concept seems pretty basic at first; there's the Soul Reapers (Shinigami), empowered souls who guide departed human souls to Soul Society, the afterlife deimension, formed after a Feudal Japan. They also fight Hollows, evil and malevolent spirits, to protect living humans and souls alike. So, I assume you have read the plot summary, which covers the basics of the first story arc, which is basically the arc where we are introduced to the main main cast of Bleach; the standard, headstrong, rash and protective teenage shonen hero, his voice of reason in the form of a girl, his arrogant beglassed rival, the ditzy klutz girl with big boobs, and the large, stoic type. Towards the end of said arc however, a real plot appears, events are set into motion, and before long, it has escalated into an assault on said Soul Society a rescue mission from our team of 4-5 heroes, who fight their way through shinigami of all kinds trying to reach their goal, conveniently placed in the middle of this Society. In this arc, you'll get lots of great action and meaningful fights, bottled together with an extremely large and colorful cast of characters, flashbacks and an interesting plot. It all builds up one hell of an end to the arc, 60 or so episodes into the show, where a most intersting twist takes place. And said arc ending is in each and every way the climax of Bleach. Which is its problem. From there it goes steep downhill to two arcs of slow-paced filler, which lowers your excitement a great deal of levels, and from there the show never manages to get you hooked as much as it did during the Soul Society arc. It does get some interesting new aspects and revelations durign the following Arrancar arc, but it never gets really exciting, nor does it get that much greater during the Hueco Mundo arc. It's just too much fighting, and a re-used ""save the damsel in distress"" plot. The colorful cast is not seen as much anymore, and aside some interesting emotional developments courtesy of the former klutz girl, there's not a lot to it, and most fights don't have the same enthralling depth to them which made the fights in SS so unique. Now it's more a display of unique powers, and whatever motivations the bad guys had for their fighting is revealed only after the actual fights, which in ways ruins things. Also, there's a few plot holes to speak of, but nothing large. However, aside the completely random filler arc (which re-used several plot elements from the story), Bleach has shown potential for improvement lately, and it keeps expanding its cast endlessly, which makes the universe seem living in many ways, so we can all only hope that Bleach will improve gradually. However, I sincerely doubt that it will ever be restored to how great it was at its peak, namely the Soul Society rescue arc. It does have a lot of shortcomings, yet it is a most enjoyable watch still. Now, why is that? The answer is the unexpectancy factor it has. Due to its vast cast and great universe, you can't really know what comes next, only make qualified guesses. What kinds of powers will that character have? What is the villain really up to? And what's with that guy? What will happen next? Who knows, who knows. So one could say that the true strength of Bleach lies in its cast, which can bring about mysteries, plot twists and other aspects of awesomeness, and cover up for a somewhat lacking storyline. So what about the asesthetics? there's plenty of people who believe that the visual and auditory aspects of anime are just as important as any plot or character development. And Bleach delivers here, in many ways. The animation quality is quite the hassle to discuss, because it is so varying in quality. At its worst it has low frame rates, offset character designs and framed action, while at its best it is vivid, meticulous and full of soft motions and beautifully animated special and lighting effects. Most of the time however, it is decent. Not average, but not in any way anything bragworthy. Expect some ups and downs in this department. The soundtrack however, is very great. It is greatly varied, and is renewed per story arc, introducing new tunes often whilst keeping the old ones around too, and this variation is intrinsical of any above-average soundtrack. It stays perfectly in tone and atmosphere with the current events, and feature everything from upbreat, adrenaline-pumping electric guitar pieces to melliflous piano pieces, and standard comedic moment tracks. The opening and endign themes feature a lot of types and genres, from the serene and sentimental to rap and rock. And pop, of course. I said it in the beginning, and I'll say it again; try out Bleach at least once, desptie what Naruto fans, shonen haters or anyone else have said. It's pretty enjoyable despite its lacks and faults, mostly in thanks to its great cast. To 'Not Helpful' voters (and you 'Helpful' voters too): Feedback greatly appreciated =)",8,Recommended,"May 14, 2008",Bleach,Bleach,269,bleach_55b66131a1,1
"Bleach will always warm my heart no matter how many times I watch it. There are scenes in this anime that I consider iconic to the anime community, regardless of how many people disagree with me, I truly believe Tite Kubo inspired greatness in so many fans. He has the most beautiful artwork I've seen in manga, and while the anime doesn't quite reach the level of skill Kubo possessed, it still presented a beautiful adaptation of his story in a way that impacted millions of people around the world. You can argue that it has cliche moments, or maybe some flat characters, and yeah, the ending was extremely rushed (due to Kubo's poor relationship with his publishers), but none of that matters when compared to the enormous amount of fans who adored Bleach. A community of millions of people were all brought together when Ichigo showed us the power of a human. The strength, emotion, and pain of a human. Human understanding and suffering and friendship and human values. It's not about swords and power ups. Bleach taught us how to love, how to protect, and how to overcome our weaknesses. This is a fictional story with very REAL lessons. And while there are other anime and stories that can teach us about life, there is nothing quite like Bleach. The story captured me at every moment, I could relate to every struggle, and I felt my heart melt at every tragedy. I know that not every person will experience something the same way. I know there are many people who feel disconnected from Bleach. But as for me and the Bleach fans around the world, we gained something by watching this treasure. I have a passion and a strength that developed every time Ichigo fought and won his battles. The soul society became my allies. Ichigo's friends were my friends too. Ichigo became my hero. I started this series back when I was 15 years old and even though I'm 22 now, I still find personal strength and encouragement from watching my hero fight for the good in this world. I believe this will live in my heart and mind until the day I die. Bleach is not unworthy of praise, because it truly helped at least one person on this earth find happiness. Nothing is meaningless. Even if only one person finds value in something, it's worth it. Thank you.",10,Recommended,"Jan 24, 2018",Bleach,Bleach,269,bleach_fdbfdd75ef,1
"*NO SPOILERS* Bleach had great potential, but became annoying with poor character development and random powers. Bleach has one of my favorite concepts ever. The Soul Society is awesome and the Gotei 13 are probably the best part of the show. They are squads composed of a multitude of Shinigami(Soul Reapers) and the show focuses more on the Captains and Lieutenants of those squads that are the most interesting characters in the show. Although, their could have been less squads(like 6) with less members in them(like 5) to have a more focused cast of characters that get more development. Hollows are also very interesting, they are souls that have either decide to let themselves be taken by evil or have been capture by other hollows. The basic concept is that the Soul Society dispatches Soul Reapers to purify the souls of hollows to let them live in the Seretei(basically heaven) unless they were evil while human( then they go to hell). The Soul Reapers use their swords called Zampakuto, that have 2 transformations to purify hollows. The story of Bleach is ok, it is basically a regular shounen protagonist (Serious while fighting and Over powered) vs a traitorous, power hungry, intellectual villain. Bleach biggest problems are its disrespect of its own power level system, its useless side characters, its horrible explanations for certain powers and its fillers.. Bleach doesn't make sense when it comes to power levels, a character can be defeated by an opponent, and then can defeat someone that utterly destroyed that opponent without training or power ups. I don't know how to describe it without spoilers but the power level system is non existent and it is really aggravating to not see that system in place. Ichigo, the main character, will discover some new ability to beat his opponent that is portrayed as being way more powerful than Ichigo, this will happen multiple times. Ichigo is easily defeated by the main antagonist(villain), that same villain levels up 5 times and is defeated by Ichigo who trained for 3 months. What? at least don't make the villain level up 5 times so it makes more sense. The side characters in bleach are useless. The Captains and Lieutenants aren't, but Ichigo's friends are. First off, Orehime Inoue, F**K is this character annoying. Shes is the typical damsel in distress, she is hot, she tries to be extra cute and she has stupid powers that have no explanation(Maybe Fullbringer). Orehime's only use is healing Ichigo so he can get back into a fight. Chad has *MINOR SPOILER* Fullbringer powers, these are probably the stupidest powers in the Bleach universe. Fullbringer is the abillity to control the souls found inside objects. WTF!! an object has a soul? I guess it does in the Bleach universe. Uryu Ishida is probably the on except-able friend Ichigo has. Uryu is a Quicy, they are similar to soul reapers, but instead of using a sword they use a bow and arrow. They also kill hollows instead of purifying them. The problem with all three of these characters is they become to weak to participate in battles except Uryu who can still provide support in battle. Bleach is almost 50% filler. These can be skipped if you binge watch Bleach but on a week to week basis it can be really annoying to have to watch filler almost every other arc. Although Bleach has a huge list of problems I was still hooked until the last cannon arc because the concept of Bleach was so interesting. The Soul Society and the captains are the main reason I continued to watch the show. The most annoying part of Bleach for me was its lack of explanation and logic for powers, Ichigo's friends that shouldn't have existed, especially Orehime and the fact that the main characters can just come full circle and defeat a character that should be way above them in terms of power.",6,Mixed Feelings,"Apr 28, 2015",Bleach,Bleach,269,bleach_781225b67d,1
"Story: Bleach is a mixed bag as far as story goes. The first arc (ep1-63), which covers the soul society, is interesting and engaging. It contains both action and a good plot. However, after episode 63 things go downhill. A lot. The Bount arc which follows it isn't even in the manga and has no relevance to the overall story, as well as being entirely uninteresting. It picks up a bit when the story shifts back to the plotline of the manga, but there isn't much of a plot to follow at that point. Basically, the main characters fight the bad guys from there on out with little else of interest to be found. If the action was great, it might make up for this, but it isn't. While it isn't terrible, it is never enough to carry the anime by itself. In addition, there are frequent fillers, which I would recommend ignoring entirely if you decide to watch this. Aside from the generally uneventful plot, Bleach suffers from an unwillingness to kill off anyone. Despite having tons of shinigami, Bleach never kills off a single one. The only characters who ever die are the bad guys, and very few of them ever perish either. If I were rating only the first arc, I would give this a 7 or an 8, but the decay which has happened since then forces me to drop it significantly to a 5. Art: Character design is excellent, overall very solid animation. It does occasionally have issues though. Sound: Sound is generally good, music appropriate to the mood. No complaints here. Character: This is where Bleach should shine, but doesn't. As said before, character design is great. However, there are so many characters that none of them get any sort of development. With the sheer volume of characters in the show, even main characters are often forgotten for several episodes. Most of the characters seem like they would be interesting if developed, but they simply aren't. Overall: I would recommend watching the first 63 episodes and dropping it there. Aside from the Turn Back the Pendulum story (206-212) there is essentially nothing of value plotwise after that point. If you're only in it for the action, I suppose Bleach is a decent show. But even in that case, you could do much better.",6,Mixed Feelings,"Aug 1, 2009",Bleach,Bleach,269,bleach_70c7a0361a,1
"Bleach has become one of the most popular anime around, and is commonly if not always, compared to Naruto. Hated by many, loved by many, this anime will be watched by virtually everyone who dives into the anime world. Story: The story, or perhaps setting to be more accurate, is quite unique. Shinigami, or Soul Reapers, that have their own special society watch over the souls in the living world. Each Shinigami carries a unique sword(soul slayer) or Zanpaktou that has its own unique name and abilities based on the wielder's style and personality. Alongside them are the Hollow, and two subgroups later to be known as the Vaizard and Arrancar. It is this unique setting that gives Bleach the power to create so many characters under such a captivating environments, and this I believe, is one of the story's strong points. In terms of plot, it isn't very strong. The whole 'rescue a friend' is seen in pretty much every anime, and the whole 'I need to get stronger to protect my friends' is equally overdone. But I personally enjoy watching series with this type of theme, so I can't mark it down because of such overdone plot devices. But Bleach also comprises by adding a few twists into a seemingly transparent storyline, and it is here that I again am impressed. Bleach isn't just about mindless violence, its about friends striving to help each other, looking out for each other and improving themselves. Theres a bit of romance tossed in too, so thats a bit of a plus. The great setting and positive themes of friendship and perseverance made me give this an : 8/10 Characters: Bleach has a huge number of characters, some of them developed fairly well, otherwise poorly. But it is the huge cast of such unique and usually admirable individuals that makes this anime so captivating. You just hold your breath everytime someone pops into release their soul slayer or release their Bankai. It's because of all these characters and their own unique swords and abilities that makes the fights in this anime worth watching. You just can't wait to see what the characters are capable of. In terms of character development, I would say that it isn't bad, especially in terms of Ichigo who starts off as a badass that can take down most hollows with ease. In time, (particularly the current arc) he realizes how insignificant he really is, and tries his hardest to get stronger. The same is similar for the other characters such as Chad. Although most of the character development is in terms of strength and not so much in personality, I still rate the characters high for their largely unique cast: 8/10 Sound: This I find, is one of Bleach's strongest qualities. The soundtracks really intensify the battles and make even the smallest things seem cool. Thats that Bleach is good at - making things seem cool, and the soundtrack is a key and necessary component. But it isn't just the action scenes. It makes the sad and thoughtful moments come alive, in addition to the mysterious and tense situations Bleach presents. It's also accompanied by some of the best opening and closings I've seen in anime, in terms of both music and visuals. They greatly depict the story and the songs set the mood beautifully. 10/10 Art/Animation: I have little to say here. The art is quite good for the most parts, and I loved the coloring in the first few arcs, particularly the bright glowly/misty colors. Most of the fights are animated very smoothly with a variety of scenes and angles and such. Its on par with most anime these days: 8/10 Overall: Bleach is one of my favorite anime, being one of the first I ever watched. I know most people consider it over rated, repetitive and predictable, but hey, it presents some epic fights and follows them through nicely. Most of the fights are a good length (couple episodes) and I'm a fan of swords and people who power up, so what can I say, this anime is gold to me. If you're the type that doesn't care too much about a complicated story or deep compelling characters and you just want to see some epic fights, Bleach is right for you. This deserves an 8/10 overall (bogged down with fillers too much, although I didn't take that into account while rating. Fillers aren't part of the show, just don't watch them =/ ), but I personally love it and rated it a 10/10 on my list.",8,Recommended,"Oct 1, 2007",Bleach,Bleach,269,bleach_ffb31e4fbd,1
"---- Spoilers (FIRSTLY THIS SEIRES CONTAINS AT LEAST 40-55% FILLER! ) Bleach: This anime is a cluster-fuck! Nothing more, nothing less. The concept of bleach is actually decent, and it's execution was 8/10 right up till episode 63. The relationship between hollows , humans and shinigami(death gods) was interesting and continued to progress into a rescue mission . This anime honestly should of ended as that! But instead we get shitty plot after plot hole, deus ex machina(shikai >bankai> hollow mask>hyper bolic time chamber) and basic shounen formula... the current manga for this series is in such a shit-hole that there is literally no hope for this series in my opinion ESPECIALLY with the death of Tsukada Masaaki the voice actor of yammamto. Essentially, the plot for bleach has devolved to a transparent sequential pattern>> i.e ( antagonist enters op status ( aizen) where it canonly be matched and beaten by ultra op status ( ichigo))>> the end. STORY 4/10 It's saddening that really the only redeeming quality of this series is the sound !Shirō Sagisu the music producing god behind such titles such as NGE , black bullet and ofc BLEACH! 9/10 ART: for the first 63 episodes art was definitely 8/10 , honestly even with the lower ratio, the quality of animation and art were superior to the other 300 so episodes... In fact I'd go as far as to say that every episode after 63 is 4/10 in art rounding to 6/10 overall . Characters are thrown into the series in hope that the viewer will like at least one, the main problem with this is that there is virtually not nearly enough time to distribute to each character evenly leaving low amount of needed character development and understanding. 5/10 Enjoyment: There are definitely some good fighting scenes, but there is way too much inconsistency in the story and the power levels between the characters leaving for some predictable plot. 5/10 Overall this series is mediocre as fuck, and it's a shame. I really felt kubo could of rapped up this series ages ago and went on to another one... the first 63 episodes of bleach had a certain flavour to it that couldn't be tasted by any other anime just the versatility of the characters and the interaction between them were interesting. BUT FILLER AFTER FILlER + the cannon material becoming saturated really made this series barely watchable! 4/10",4,Not Recommended,"Mar 6, 2015",Bleach,Bleach,269,bleach_48220b7017,1
"Bleach is a good choice for you if you're looking to observe the process of the mainstream anime of the 2000's and what they tried to pull off to sell and stay relevant. Outside of the popularity that it got, I see Bleach as a very stale and mediocre anime, which I'll go and detail in the review later, but I'd like to start with the cause and then the effects. You see, Bleach is a product of a time when a shounen reaches popularity to an extent that it can be milked, hinduism will then sue the studios and authors in question for treating their cattle with such disrespect, because those innocent cows have like four japanese businessmen attached to all ends of the udder, with them chugging the milk hard. The strategy was to sell it like it's crack-cocaine, because people will love it and people will buy it because it is something that fits their business strategy. But how did the studios get the warm & sweet cow milk? Here, I'll guide you through it if you wanna do the same. First of all, the source material needs to have garnered some popularity from the target audience desired. Then, as your next step you make sure that it is gonna be a battle shounen and that it does feature some form of fanservice. Third, you make sure to influence the source material in a way that the show will keep its cast mostly out of mortal danger and will turn any of the cool villains into protagonists. And also make sure that nobody dies so you can milk the character popularity too. Fourth make sure you never take a break from airtime ever and air constantly, even if there is no content to adapt. Create filler arcs so the author has time to write content for the anime to adapt. They don't have to be memorable or interesting, you already hooked in the audience. They'll watch anything, so they don't deserve any quality. And then you are set for as long as the author complies. Some free advice on how to keep animating content and delay running out of source material: Make sure to rehash as much material as possible, showing as many flashbacks as possible whenever the character reminisce something important or just make a bullshit reason like trying to remind the audience what the characters are fighting for. It will help you plenty. Don't forget you think your audience is just filled with complete idiots. Very important. What shows like Bleach aspired to be was the next Dragon Ball, because that for most was like crack-cocaine. Since the DB franchise did it first, we just have to do it and make sure we capitalize on all the things it did and make our shows as close in execution as possible, and not risk anything because it won't sell. This is kinda why shows like Bleach disgust me. They just don't aspire in any way to be artistically distinguishable and just try to be the same thing as their spiritual predecessors. They treat their audience like garbage and the only reason I came come up with for such a thing is the reward, which is the money. If this business scheme worked, why not use it? Each of these goliath shounen shows have some varying degree in certain aspects of sins in these departments, but they're all the same when boiled down. Another attempt at getting another Dragon Ball on the market. If you can't respect that, you can just stop reading the review, you read enough. If the show will have potential early, it will dissapoint you because it went nowhere with it. If it won't, you'll be dissapointed again because you had nothing to show for at all after spending some time through it. But if you still hold some interest for Bleach, keep reading, because now I'll get into the actual show itself. But note that I'll spoil some things in the story for like the first 15 episodes of the show. The show has 366 episodes so it kinda is hard to not give you any specifics on the story's direction without giving you any specifics. I strongly advice reading despite that, I did my best to avoid it being plot specific and in a series like Bleach, having a little knowledge of what you'll watch, from where I'm standing, is strongly adviced. The story of Bleach early seems to be about a high school student who gets super powers and has to fight and protect people from spirits that failed to pass away to the other world. And for the most part, he spends his time going through high school featuring some slapstick humor along the way and then, in his responsabilities as a shinigami, he has to fight gigantic monstrous beings with a big fucking sword. Sounds like nothing. As a matter of fact, for the most part, Bleach is mostly generic in terms of its action and story, but it does have a high point. In its introduction arc the series does build itself up. First it does build up the main character, and his overall attitude towards saving people. He isn't unwilling to save people that he sees that do need help, but he isn't exactly accepting of the idea that he would go around and make a day out of it. The way he described it at the time that ""Of course I'm gonna help someone if I see they need it. But I don't want to seek doing it."" And for a while the series tries to convince him to get to do what he can to take care of everyone and Ichigo constantly does it reluctantly. But that plays into a meaningful decision. Another thing that was constantly built up in the series was the Spirit Society, a society governed by people with the same powers as Ichigo, responsible for the protection of spirits and fighting against corrupt ones. The character responsible for Ichigo having to fight these spirits leaves in order to protect him and not make him also suffer consequences as a result of her actions. He is unsatisfied with her decision and runs off to find her. And so he does, just to find another two people, of whom one proceeds to destroy him in battle, with him being a subordinate of the other. And then a meaningful thing happens. After this sore defeat, Ichigo decides to try and save her. To infiltrate Soul Society. After losing his powers. And after being overpowered. He made a decision about who he wants to protect and why, and goes in to save her despite all odds, in a world filled with an uncountable number of people who might be potentially much more powerful than him, willing to simply just go alone. It feels like an adventure with odds stacked against him with who knows what might come against him. The show is respectable at that point and the decision makes sense and feels meaningful. The Soul Society Arc is pretty much where the non-fanatics of Bleach agree that the show was at its strongest. And I'm one of those people. Now don't worry, I'll stop with the spoilery stuff now, so you won't have to worry about what you'll read on ahead. All I will say that in the Soul Society arc, our characters will explore uncharted territory and have fights of their own. Most of the fights will focus on presenting the personality and motivations of the characters and show off the world. It's the most well executed arc out of the entirety of Bleach, because there's a sense of urgency because you don't know how events will play out and it does pretty much feel like a rescue mission. But everything falls apart after this arc. Fillers with irrelevant events will start pilling up, which even the most thirsty of fans tend to skip. The fights just become a mess where the character who's strongest wins until the other character reveals a ""final form"". That will be the basic structure of all the fights for the series' remaining airtime and actual abilities and what they do won't matter, because ultimately, the strongest in raw power will win. All of the action of the series is stale and the character motivations just don't matter. Fuck, each character has different abilities and that plays so little into how fights go around, that they feel almost incompetently choreographed. They just seem to bank on pure hype alone. While Ichigo has an interesting execution at the start, he's a very standard shounen protagonist who fights to protect his friends from harm, he's hot headed, has spikey hair and is fucking terrified of those things women have on their chest or between their legs. He is an archetype that even at the time was treading water. All the other character don't matter since the series removes all the tension and urgency by making everyone make peace amongst themselves and just introduce some new enemies so a constant clash of I'M STRONGER THAN YOU DIE will come. The overarching villain of the series is some dude thirsty for power for the sake of power. Otherwise known as a cartoon villain. Everything in Bleach is as generic as possible. Bleach aired for 8 years. In these 8 years, the artstyle suffered some changes. From first having that choppy VHS aimed type animation with some degree of bad color balance it eventually ends up being one of those series that didn't figure out how to draw the outline of the characters without making them oversharpened, so everything is constantly looking blurry. Also the color balance often feels too strong when dark colors aren't involved. In the first few years it was introduced, it had some pretty interesting tracks that in all honesty, I can enjoy listening to these days. Then eventually transitioned to airing some harmonical/classical tracks in its wake. They're not bad, but the first aired tracks for the series have a very distinct feeling. So if you decide to watch Bleach do it if one of the following descriptions apply to you. You're just looking for a long running action series and don't really care about the structure of the fighting and think that the raw power type drawn fights will entertain you. Or you're looking to look into the way the business strategy of selling off the next Dragon Ball failed and Bleach is a particularly strong choice because it's already kinda faded out of relevance. It doesn't really have really strong action and early it mostly was used to develop characters. Then it was just colored blasts or final forms. Or both. The humor is slapstick and well... you can find that type of humor pretty much anywhere. No need to find it in Bleach. And Bleach just is a very generic show that aired for a really long time. Ultimately, Bleach was passed off as milk. But most people know better than to drink Bleach.",5,Mixed Feelings,"Oct 12, 2016",Bleach,Bleach,269,bleach_114bcf6604,1
"Bleach, Bleach, Bleach. It has alot of popularity, and for reasons I don't know because I find it awful. I have given Bleach a lot of chances and I think I have seen enough of Bleach to give a review. ==STORY== One of Bleach's many bad points is its story, it's about as typical as a story gets. The premise is basically 'save the girl' and 'beat the strong people'. That is it, often running into huge monsters that never really seem like much competition. The story never improves, every arc starts the same. Ichigo in school hanging around with his horribly annoying, useless friends, then a new enemy will show up, capture someone or blow up something, then it is up to Ichigo to save the day. This process isn't quick either. One fight would be 4-6 episodes of struggle before something actually develops, and thus leads to many hours of boredom. But from the Soul Society Arc to the Arrancar Arc, Bleach never excels, it's stuck in one spot it can't seem to get out of. ==CHARACTERS== Oh God, something actually worse than the story. Characters, let's start with our protagonist Ichigo, I'd say he is about as interesting as a wooden post. I didn't realise main characters can lack such depth, but it's possible, Ichigo is a character that never develops, his personality, his relationships. The only thing that Ichigo actually improves in the whole series is his strength, but everything else tends to remain the same. We are left with a very boring, serious character, surrounded by several really happy characters. His school friends are very annoying, Inoue seems to follow too deep into the cliche, ""damsel in distress"" because that is basically all she provides, often his other friends will try to join in on the action and get beat up. Ishida starts out as a potential threat to Ichigo, then ends up far behind, Chad is big... and this soon becomes natural, the unimportant classmates, (Keigo and the Lesbian in particular) will provide moments of forced humour, to the point where you would want to repeatedly hit yourself with a lead pipe. Then you'll have the 13 division captains and lieutenants. Basically just a horde of characters, in fact, too many characters that will get about 1 or 2 fight scenes then become unimportant to the rest of the story. The antagonists are either extremely insane or extremely moody and that is all you get, I tried to analyse deeper into the supporting characters, but then I realised the characters aren't deep enough to delve into, what you see is what you get. ==ART + ANIMATION== Well backgrounds aren't exactly awful. They provide with fairly decent backdrops. Sometimes you'll wonder where all of the people are but while not anything special backgrounds are colourful and scenery contrasts well. Art is very inconsistent for the most part. Good episode, rushed the next. You don't know what you are going to get and it becomes really unpredictable. Character designs, not so good. Sometimes you'll wonder if a 5 year old designed some of the characters because they tend to be very different looking. Some characters will look incredibly standard, and others odd, the inclusion of a hollow hole for me is unnecessary because it just adds to the strange character designs for most hollows and arrancar, just a huge, randomly-placed, gaping hole going through their bodies. Reason? I have no idea. Just to add to the stupidness maybe. Well, they are about as strange as their choices of names and fanservice is extremely common, just about every woman other than Rukia has massive breasts, I think its just a ploy to make most of the women memorable since they seem to lack character. Rukia is perhaps is the only female in the series with any character. Animation is not fantastic, you'll find yourself laughing at most running motions. Fight scenes are incredibly boring, it feels like the animators took every shortcut they could to make the fights easier to animate, movements of characters are far too static and stiff, I would like the characters to loosen up and fight properly but in the end it gets repetitive to the point where it is unwatchable, and all they tend to do is bash swords together for several episodes, using energy blasts and flying into eachother at high speeds. Yes, it's DBZ with swords, the only thing is DBZ managed to pull those fight scenes off and make them interesting. The main problem with the fight scenes is that there is no fluidity, no originality, everybody has the same thing: Sword strike and energy blast. But most importantly it is the lack of style that ruins it, it's like no one has freedom when they fight. Since most of Bleach is fighting, I judge most animations on the fights which is perhaps the biggest disappointment I get when watching Bleach, as I am a big fan of well choreographed fights in animation. ==SOUND== The sound in Bleach succeeds a lot of the time. OPs and EDs are good, you can see the standard of music for Bleach is high, as people are usually disappointed when a series changes OPs and EDs, but with Bleach the current OP is usually just as good as the previous. Background music also fits very nicely, it is actually Bleach's strong point, the music is very refreshing. And usually suits moments. The only problem is that after a while you will hear the same songs, this isn't much of a problem but you can tell after a while the music variety starts to become limited. Voice acting is standard, sub and dub. ==CONCLUSION== Bleach is just an overhyped shonen. Most of the time I sit there watching, incredibly bored, the series never really goes anywhere, the pacing is really bad, things tend to take too long, fights drag on. The series has been running for too long. There are too many fillers, too many characters, not enough development, I don't care enough for the characters. It's boring conversation followed by boring battle every episode. After the Soul Society Arc I thought I'd give up on Bleach until a better Arc comes out, when the Arrancar Arc came out I was excited thinking that Bleach would finally excel to heights I'd expect. But it was all a big disappointment, I am now in the Shinigami v Arrancar Arc and so far I have been wasting my time and I am ready to give it all up. Basically, it is a modern, lackluster DBZ laden with huge swords, uninteresting characters and fanservice. I feel, when watching Bleach I am just missing out on better series'. I don't just want to flame Bleach because it is overhyped, but I really don't think Bleach has any of the qualities that make anime good. Overall, I really wish it was better",3,Not Recommended,"Mar 31, 2009",Bleach,Bleach,269,bleach_6d59f29c84,1
"One of the most mediocre animes I've watched. Episode 311 was my limit. I have no clue why I'm still watching this anime other than the fact that I can procrastinate a good 22mins every week, this week was, however, exceptionally frustrating. The storyline is decent, but constantly revolves around the I'm-going-to-whack-you-until-you-die-so-that-I-can-protect-some-people-that-arent-even-going-to-be-hurt-by-you, oh I forgot that they spend no time trying to solve any conflicts peacefully, they just get straight into drawing their sword, and dueling it out with as LITTLE effort as possible? Why? Because, they will put in a little more effort the next week, and just a little more effort the week after, before deciding that I'm-going-to-take-you-down-now-with-my-super-ultimate... which will take another week before the fight is resolved. What an utter waste of time. Too predictable, and a total lie if anyone tells you there is characterization. The last 50 episodes has either been filler, or raw fighting. Ichigo continues to fight everything he sees and threaten everyone with his big sword without ever giving a care about resolving conflicts out of combat, same goes for almost every creature in the show. Initially the show was definitely enjoyable, what with the interesting idea of shinigami and their shikai+bankai... 311 episodes in, I'm sure few of us, other than the 12 year old kids will continue to enjoy this constant plot-less circle around karakura town. Where will the show go from here on? Well, I hope it ends, because surely there is NOTHING left to talk about? But golly me, I'm sure everyone will resurrect and powerup, just like they have been doing the past 311 episodes and it will not be a surprise if there is a ultimate-kai along the way which will then be countered by a super-ultimate-kai. What a waste of time, but I'll keep watching it, until it drops below the 5 I'm rating it now. Thank god shitty Naruto actually turned out better than I thought, as stubborn as Ichigo, but at least hes much more mature and likable than that violent criminal that is Ichigo.",5,Mixed Feelings,"Mar 1, 2011",Bleach,Bleach,269,bleach_e7adef9a01,1
"When I started watching Bleach, I couldn\'t get enough of it. Not only is it fun to watch but th storyline was fast moving and character exploration was something that I definitely looked forward to. I must admit, like Naruto, it has slowed down a lot and is just dragging for the sake of being on the air, but I still watch it every week. The protagonist of the story is Ichigo Kurosaki - who through some circumstance becomes a shinigami on earth. He is joined in the defense of earth from Aizen with his friends who have awoken their power through his influence. The trials and tribulations of friendship, honor, trust and loyalty is the underlying theme of the anime - very similar to Naruto. Simply put, it is a story of good versus evil and standing up for what you believe in.",9,Recommended,"Jul 13, 2007",Bleach,Bleach,269,bleach_86353caa11,1
