review_text,user_score,recommendation,review_date,entity,series_component,series_id,review_id,page_number
"In 2012, Bleach ended its long anime-run without adapting the final arc from the manga. Dubbed as part of the 'Big 3', it almost felt like an end of an era. Some fans were left confused that the anime omitted its final arc although it's understandable that the manga was still ongoing at the time. Almost 8 years later, Bleach's massive 20th Anniversary Event breathed new life into the franchise as we got the final arc anime announcement: Bleach Thousand-Year Blood War. Mind you, this isn't just an announcement for what fans wanted after all these years. It's a celebration for the entire Bleach fandom. Tite Kubo has amassed a loyal fanbase and I confidentally say that he deserves it for his creative vision and sheer determination. Initially, he didn't expect Bleach to bloosom into the franchise as we know today but mangaka Akira Toriyama provided the encouragement for him to succeed. Tite Kubo's creative vision to make characters dressed up in kimono and supernatural monsters associated with spiritual themes is what made this franchise so special. Of course, he was influenced by other works but Bleach still stands out as a very special show on its own. And with the final story arc, this served as the ultimate sendoff for anime viewers who had hoped to see this one day. Bleach Thousand-Year Blood War is based on the final story arc of the manga, pitching Ichigo Kurosaki, the Soul Society, and his allies, friends against a new enemy known as the Wandenreich. They make an immediately impact by disposing a lieutenant and challenges against the very best of Soul Society. Led by the Quincy King Yhwach, their true agenda remains a mystery but it's clear that they are a prominent threat against all of Soul Society and the human world. Even the world of Hueco Mundo isn't safe from their wrath as Ichigo and his allies decides to take a stand against this new threat. Watching the Thousand-Year Blood War Arc immediately shows just how dangerous and capable the Wandenreich is with their special abilities, equipment, and ruthless ambitions. While not much is known about their, some of their members display a malevolent aura that borderlines on a God-like complex. If there's anything Bleach has taught me about its antagonists, it's that they often come across as charismatic characters such as Sosuke Aizen and the Espadas. While we don't know much yet about Wandenreich, it's clear that they a force to be feared. Our oranged hair main protagonist Ichigo Kurosaki is still the same Shinigami we came to know since previous seasons. Joining him in his quest to stop the Wandenreich includes his loyal friends such as Rukia, Renji, Yasutora Sado, Orihime, and of course, the Soul Society. The oddball of this show is Uryu Ishida, because of his status as a Quincy, and this is a source that gets complex this season. Unfortunately, this season doesn't truly dive into Uryu's motivations or what his true purpose is yet. Most interestingly however, we come to know a deeper background story of a few Soul Reaper captains including Genryuusai Shigekuni Yamamoto, Kenpachi Zaraki, and Retsu Unohana. Even Ichigo's parents gets a spotlight this season as we come to know how Isshin and Masaki met in their past. It's important because Bleach has a large cast of characters and we can easily get lost. This season took its time to give these characters more meaning with their stories. But fear not, other favorite characters in the franchise also makes a return including Toshiro and Byakuya. They've received storytelling about their backgrounds in the past before so this season mainly reminds us how strong they've become. Bleach Thousand-Year Blood War is exactly how it sounds, a war with bloodshed and been in the making for a thousand years. Narratively driven, this arc goes to show the importance of how the past can affect the future in the Bleach world. It goes to say that with every story arc, there's usually some sort of main antagonist but also lessons to be learned. Ichigo has learned a lot from his first days as a Shinigami and this season will he will learn again what it means to be one. Watching this series serves as a celebration and ultimately, a way to give fans back what they've wanted all these years. Despite the near decade long absence on television, studio Pierrot knew it had to step up and deliver this arc to its eager fans. Thankfully, the quality of this season received a well-deserved upgrade. Character designs looks like it got a next generation upgrade with their detailed outlines and expressions. Battles scenes have been enhanced to bring the fights alive from the manga. Most importantly are the way this season adapted its character emotions. There are several episodes where we see how characters are pushed to their limits when emotions take over. This season captures the essence of those emotions at their fullest. Similar, the theme songs and battle soundtrack still remains stellar like the old days. You can say whatever you want about the Bleach but the the music has always been top tier class for this franchise. Bleach is a franchise that always stood out with its large colorful cast of characters, themes, and pushes its lore to a level we've fondly remember. This season takes another step forward to showcase the final story arc from the manga. Believe me, Bleach fans have always wanted this for years and this was another one of those cases of 'not if, but when'. The 20th anniversary was the perfect storm to announce this show and since then, we've been graced with one of the most memorable arcs so far in just 13 episodes. Fear not for this is just the first season of the Thousand-Year Blood War arc. There's so much more left to tell and we're only just getting started.",9,Recommended,"Dec 26, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_75d7872628,8
"Even in the best that Bleach has to offer, some still won't be able to appreciate it. It's bad, shallow, no writing..and the nitpicks go on. To those saying nothing is happening at all, are you even watching the show, because a goddamn war is actually taking place, which goes beyond just (oh look..there's a new big baddy now). Where is the worldbuilding or character developement?- some ask....here's the thing its only been three episodes for these things to show up immediately, Bleach doesn't spoonfeed those thing at you right out of the gate. Kubo always liked the ''show, don't tell'' method, so he takes his time with developing characters, forshadowing and worldbuilding. So far most criticisms are: ''Me don't like Bleach, me rate 4.'' Bleach TYBW is by far the most ambitous arc in Bleach. This first cour will contain the first Quincy Invasion of the seretei, which is by far considered by fans of the series as Bleach at its peak. As a reader of the manga I will say that this arc has a lot to offer in terms of character developement/progression, reveals and twists, worldbuilding and fights... a lot of em. The production value of the series is definitily impressive so far, from the visuals, compositing, music, voice acting. Bleach keeps showing that it deserves all the hype and praise it's been getting. Simple as that.",10,Recommended,"Oct 27, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_f7c4a26360,8
"This has been a long time coming. From those who've been with the series from it's start, to newer fans through the years, to finally not only have more Bleach, but to have a continuation and finally an adpation of this long awaited arc that so many fans have craved for, and wanted for so long. How is it fairing up? Let's see... Story and characters: 9 You've seen the comments, you've seen the ratings, you've seen the hype, and the lore, the attention to detail with each and every step. The faithful adaption of it's story and it's context. As I've said, it's as if Bleach had never left us, and wanted to come back to finally showcase it's final arcs in style in animation form. Fans who have long awaited this will be happy about it. The characters are as you'd expect them to be, nothing is out of place in the sense of that they look wrong, sound wrong, feel wrong, it's all done really well, and you'll have a blast with it. Bleach came back and it's here to stay. Art and sound: 9 Honestly, it feels as if Bleach never missed a beat. As if it's come right back from how it was before, but with it of course, a more modern and stylish touch that you would expect from shows these days, but even with that, it doesn't look bad at all. If anything as just stated, it's as if Bleach Looks as it should, if not better, showing already the care and consideration brought into this, they were deadly serious, and not just on the art from. The voice acting is on point, and classic voices you all remember are front and center. Bleach was, and always will be a BIG THREE for a reason. Even now, it's standing above so many other shows, you'll be very pleased to know, it's been continuing right. Watch it when you can, watch all of the Bleach before, or even read it. You'll love it, like you'll love this. I need to say no more than this, this is a great adpation, that you should DEFINITELY be considering, if not watching already.",9,Recommended,"Oct 24, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_5a0b838fb7,8
"This season of Bleach is one that i waited for a long time.The animation is something else, something good.I couldn't wish for a better animation.The story is on track with the manga and it keeps adding new dialogues.This season is for all bleach fans and it is a piece of art. The new characters they have the voice that you expected the to have.To put it simply the voice actors are perfect.But now it really starts the fight, the big fights and i think it will be better than naruto's fourth shinobi war, which i liked that very much.I am a Bleach fans and i know this arc will be the best of the entire series and one of the best this season. Every monday i am excited to see a new episode and i keeps bringing.Always take note that some episodes will be without action, like in all anime we are seeing, but it is worthy.If you like action packed anime, with couple of funny situations, well built characters and well built villains, this season and this anime is for you.",10,Recommended,"Oct 24, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_401ee68530,8
"- I haven't read the manga - I actually took the time to think if what I am about to say is what I actually feel or is nostalgia. I even rewatched the episodes again to confirm this This is my very 1st review to an anime since I joined MAL, I really feel like it deserves it. I will try to keep things short and easy to follow: PROS: - Beautiful animation - Fight scenes are just....on another level. Something AMAZING happens and blows your mind, you think nothing can beat that and BOOM something way better comes out - As I have mentioned, I have not read the manga, but I have read oppinions of the people who did and from what I can tell, they are taking their time with the anime, adding scenes etc. which will improve the quality greatly Every episod is just so full of everything, I feel like I can't even blink or I will miss something important. It absorbs you into it. 7 episodes so far and they all together feel like you watched a trailer. CONS: - This is being brought up by many people, that things feel rushed. I have mentioned this in the PROS, lots of things happen each episode. However, for me that is by no means a con. Look, the anime has only 7 episods, patience is the key, I am sure we will get an answer to all our questions, but in time. Maybe you should wait until it's actually finished airing before watching. - Also related on how fast things are moving, my thoughts are that mate, they need to be quick (the quincy). They need to strike fast, as the opponent does not know what to expect. I mean, sure, they have announced their invasion but that does not mean muchh if you don't know what you are about to expect. Peopple falling left and right is something like a blitzkrieg strategy, they don't want to give the shinigami the time to figure out how their powers work and how to counter them. This is seen like something negative by many people, but again, it's just strategy. As we see in episode 7, the quincy can only spend a limited amount of time in Soul Society. Overall, I do recomand it with all my heart. It's been a while since last time I have been so engaged with an anime. It's just beautiful and it should be appreciated for what it is, but again, might be a good ideea to wait until it's finished airing to watch it, as I strongly believe your enjoyment will be significantly higher.",10,Recommended,"Nov 21, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_35ec3af034,8
"Bleach fans REJOICE! Being one of the first anime I fully watched, I can thank bleach for turning anime into a passion for me (or maybe not? hahaha), which lead to me loving Japan, and the next thing you know, I have been living there now for a bit and am much thankful for it. Does that make me biased? Hell yes, and aren't we all in some way? Let me pull out a bit of negatives before I fanboy away; Bleach has never been the best in terms of consistent plot, nor has it been with power scaling, and a lot of people would mention that it doesn't have very deeply developed main characters, which I generally agree with (although they do fit with the anime). BUT out of the big three shounen, I would say it has the best ""VIBE"": it has good music, awesome villains and STYLE; no seriously did you look at the DRIP that the characters have? Kubo should really have designed clothing... I am basically stating that, Bleach is a vibe. It helps that I love supernatural settings (hello Yuu Yuu Hakusho) too; I just can't get enough of that sense of ""mystery"" that just pairs well with the music (or maybe it's the music that makes it that way?) and the story in general and it's... uniqueness; and no, not in terms of the generic shonen story, but in terms of the overall feel it gives compared to other shounens. I guess if you don't like it, you just don't get the vibe??? Jokes aside, let's talk about the current anime. I have read the manga until the end and yes there are scenes that I am kind of disappointed that are cut, but in the first place; those were cut because of complaints (from what I have heard, which is second-hand information); consumers are never happy aren't they? Ok, I agree, although I was hype, I feel like the first episode could have been a bit better, and there are bits here and there that I would have changed in the 2nd too (trying not to spoil so won't be too specific), but overall I know this arc is gonna rock and I am sure Kubo is looking at the big picture too; there are a lot of things that will happen, thus some things might need cutting. Even though I am nitpicking, I still think it was pretty well directed and executed overall and I was still hooked. Although the new animation looks beautiful, I am not a fan of the 3d animation they used in the first episode for the hollows. The fights and cleanness from all the rest though compensates totally for it, and we won't be seeing much of it I presume as this arc doesn't contain a lot of hollows. Besides that, Bleach has never looked any better; which I am so thankful for. The music remixes from old OST have been also a hit; the intro is a banger; I feel like bleach never disappoints when it comes to music, I would even come to say that it's the main reason why I truly enjoy the show. Music is completely subjective, but most people I know or talked to all agree that bleach's music is one of the big reasons why people fall in love with it. Some may not like it, and that's fine, surprisingly not all people in this world like chocolate either (weird right??), I wasn't a fan of the hollified remix; but I still think it fit and I am sure it's just a matter of getting used to it. The characters are alsowhat made people stop bleach and made others into bleach fans at the same time. I agree that the main cast is very.... boring?; to a point where it gets pretty easy to know what most of them will say and how they will act at most times, and I am saying this even though I love them (let's exclude Orihime from here hahaha). Their dialogue is pretty easy to guess. This season they haven't seemed to change that much either, but I am liking the tension that stems from Uryu. The side characters and the villains thought? Broooooooooo. My favorite captains are back with style and am happy that you could see them in the first few episodes. I am also super stoked to see the villains in this arc come on air. I am also looking forward to the fights; this is the war arc after all. For me, anime; like any form of entertainment; it all boils down to enjoyment. Even though I have some knicks and knacks, I have never felt this excited again to watch anime; and bleach, even though has never been the best show for me from a critical point of view, has always been the best at hyping me up and getting me excited to watch the next episode; a feeling I haven't felt ever since I was in my early teens, where I would go to school and just think about Bleach all day and would run back home just so I could binge watch it. I rewatched it, even with fillers, and still felt that way the second time and even when reading the manga. Rare are shows, or games nowadays that give me this feeling, and somehow, even through my nagging, I just can't contain my excitement for the next episode of this season.",9,Recommended,"Oct 26, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_951fe3b4d7,8
"Bleach is back and it is better than ever. The Thousand Year Blood War is for me the second best arc this story has to offer. I know a lot of people hate on Bleach because it's popular. A lot of people are already complaining even though we only have 4 episodes up until now. People are saying it's too fast paced. It's not, a lot of shounen now and in the past just adapt stories way too slow. If it was paced slower it would become boring, like what happened in the original anime. People are saying it's too slow paced and that it's taking too long for the invasion to start. You need build-up before you introduce your villains, you know. People think the fights are repetitive and boring. The fight with Opie is amazing. And yes, Opie suddenly reveals a new ability and to some that might feel like an asspull. But that's what makes the fights in any shounen intresting. New techniques and enemies. Some of the abilities Opie shows are things Uryuu has used in the past. We are only 4 episodes in and let me tell you, there are some amazing fights to come. People find the characters boring. But they're not. I do feel like certain characters could have been used more, but even those characters aren't boring to me. They all add to the story in their own way. Whether that be being useful in a fight or adding comedy to the story or adding humanity to it. People are saying this is just a cashgrab. The anime was always supposed to come back. Plus, most people think that Bleach got cancelled because of low ratings. What financial gain would you have by reviving a dead series, unless it's not actually dead. This video goes more in-depth about why the anime was cancelled: https://www.youtube.com/watch?v=npQvWmqIoAE People are saying Bleach is a boring series. But it is part of the Big 3 for a reason. People liked it back then, it became popular for a reason. People enjoy it right now for a reason. It's entertaining. I know there are a lot of issues with Bleach. I read the manga and I know why people hate certain aspects of it. But the staff is really trying their best with this anime and you can clearly see it. If you are searching for a deep story with a convoluted plot then maybe this is not your cup of tea. But not a lot of shounen is that. Not Bleach or Naruto or One Piece or My Hero Academia or Hunter x Hunter or Jujutsu Kaisen or ... . None of those anime are that. They have a message, they have something that can strike a cord with you. But they not that deep. They are just here to entertain and they are doing a great job at that. I love all those series and out of all of them, I like Bleach the most.",10,Recommended,"Nov 5, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_75a5792bc8,8
"as big fan of this series i love what they done with this arc. they delete all comedy content from the manga and make minor changes, and what we see now is masterpiece. Sounds the ost in bleach series is Fire ,and this arc no doubt is fantastic I LOVE IT. 10/10 art bleach is always known of wonderful animation back days, this arc is worth the wait this gorgeous animation is in next level. 10/10 characters at this point we all know all the old characters and how great they are. for the new enmy so far they only 5 eps we can't talk too much here. but for what we see is well done characters. 10/10 story with 4 to 6 chapters adapt per episode and what we see until now make the story phenomenal. 10/10 overall 10/10",10,Recommended,"Nov 12, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_1d2d9b0df5,8
"6th episode will be the famous ""6th episode"" after next week and probably will hold the ""best bleach episode ever"" title until the end of time. I really can't understand the viewpoint of the people who give mid scores to this anime and say it's cutting a lot of material from the manga, as a person who watched the old bleach and read the whole manga I am really enjoying this ""fast pace"" on the early episodes. It brings this arcs shock effect to the maximum and plus Tite Kubo is in this adaptation people, it's probably the writer's choice to give bleach a fresh, jump start after loads of fillers and silly fights lasting like 5 episodes. Personally, I am really enjoying it so far. So if we are done with these gibberish arguments I would like to point out the things that are going crazy in the anime right now. I am writing this review and only 5 eps are out right now. 5th episode was crazy and like I said 6th episode will be the famous 6th episode after next week and probably will win the ""best bleach episode ever"" title until the end of time. I don't wanna spoil anything., just holding on to your chairs, maintain your blood pressure throughout the episode, and hopefully finish it before dying from joy would be my advice. Soundtrack-wise, I am speechless. Shiro Sagisu was always great but making this soundtrack this good in his sixties is a crime. The way he gives Quincies their brand-new menacing imperial themes, bringing old soundtrack with a new taste and adding his ""epic theme collection"" new tunes every single episode is just.. like I said, I am speechless. I was waiting for a good OST but this one blew my mind and I hope after the first break this season he releases some of the tracks cause I can't wait 2 years to listen to this masterpiece. The animation- is good. I can't say I lost my mind over it, definatly doesn't have the vibe of the old episodes but a new taste of its own and I think that appropriate to the situation Bleach is in right now, like after what, 8-10 years you are animating the last arc of an anime and it looks different. Tho to be honest even in manga the distinction between the TYBW arc and the rest is very clear, at least it is to me. So animation and color palettes are different from old but I don't think they are bad but fitting to the situation at hand. I am sure some will say old was better drawn and some will say new has fluent action, I will say I love both and am very pleased with the animation quality for this arc. Gotta add something about the voice actors real quick, I have 4 issues in mind, first, -Yamamoto's voice actor passed away and the new VA nailed it so that's a relief. -Ichigo's VA has grown old I think, his voice is more crispy, and especially the Getsuga-Tenshou sounds a bit different but I am okay with that right now. -I don't know what happened to Hitsugaya and Byakuya tho. Both have the same VAs but Hitsugaya sounds very deep and Byakuya is just not the Byakuya, he doesn't have that sound in his voice anymore and speaks very casually. I guess the only thing I dislike about the anime at the moment is how they butchered Byakuya's sound with the same actor. Final notes-- Watching Bleach with this new look and fast pacing really is a lecture on ""how you bring a 10-year-old shonen anime to life"" and i think we will be seeing this formula for other old animes in upcoming years. Loving how Bleach proceeds right now and I am very satisfied with the outcome, cant actually wait for the new episodes, it's that good.",9,Recommended,"Nov 8, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_c0bf67066f,8
"bleach returned to the top.the animation is very well done. It's a little rushed but nothing that spoils the experience when watching. The ART style is fantastic, seems like a movie. I love it and recommend it to everyone. I'm looking forward to seeing the main fights of the arc, Kubo said there will be a lot of extra content Is the story unique? If it was predictable, did you enjoy it anyway because you like this genre/set-up? a littele but os shonen Do you think the art style is fitting for the story? Yes Were the characters well-rounded? Did they have flaws and strengths, or were they unusually strong/smart/stupid? The characters are just like the manga Did the characters react to situations and events in a realistic way? yes Do you think others will enjoy/dislike this series, even if you didn't? Why? Because the número os back",10,Recommended,"Nov 4, 2022",Bleach,Bleach TYBW Part 1,41467,bleach_tybw_part_1_aab198285a,8
